Nitrogen,Phosphorus,Potassium,OC,pH,Crop
208.2,36.6,116.3,0.92,6.3,Rice
274.4,38.5,151.8,1.04,6.7,Rice
326.9,53.7,154.6,1.18,6.2,Rice
133.5,23.8,93.5,0.73,6.4,Rice
307.9,48.1,171.5,1.08,5.8,Rice
379.3,47.9,177.8,1.37,6.5,Rice
281.3,37.8,170.5,1.17,6.6,Rice
223.7,41.4,147.1,0.87,6.1,Rice
251,38.4,148.1,1.03,5.3,Rice
134.4,20,83.6,0.53,6.3,Rice
138.6,22.6,89.7,0.75,6,Rice
255.7,49,152.3,1.1,5.9,Rice
252.5,44.7,141.6,1.04,6.2,Rice
161.9,31.2,118.5,0.78,6.2,Rice
176.7,27,125,0.84,5.7,Rice
139.3,27.4,109.7,0.7,6.4,Rice
295.4,38.2,149.2,1.15,6.8,Rice
278.3,37.8,145.8,1.08,5.6,Rice
334.5,46.2,197,1.29,5.6,Rice
199.4,31.3,133.2,0.81,6.3,Rice
281.6,37.1,172.9,1.11,6.5,Rice
321.7,42.9,169.7,1.3,6.4,Rice
368.4,50.5,152.6,1.34,6.4,Rice
263.7,40.5,132.1,0.93,6,Rice
354.5,51.7,187.1,1.28,6,Rice
339.2,43.6,190.1,1.41,5.2,Rice
319.4,57.1,198.2,1.34,5.7,Rice
258,37.5,126.5,1,5.6,Rice
303.3,43.8,171.5,1.28,5.2,Rice
240.4,41.9,145.4,1.08,5.9,Rice
208.3,32.5,135,1.03,5.5,Rice
303.1,43.3,165.9,1.1,5.6,Rice
157.6,26.6,98.7,0.78,6.3,Rice
223.2,26.7,107.5,0.88,5.5,Rice
245.6,41.9,127.6,0.96,6.6,Rice
219.8,36,124.7,0.98,5.4,Rice
221.1,44.4,154,1.11,6.2,Rice
246,36.3,118.1,0.99,6.5,Rice
314.1,49.2,166.7,1.36,5.5,Rice
217,28.2,131.8,1,5.2,Rice
200.9,30.4,129.4,0.76,5.9,Rice
291,36.6,150.6,1.16,6.7,Rice
148.5,22.8,80,0.5,6.4,Rice
188.4,32.1,106.9,0.88,5.7,Rice
107.2,20,80,0.55,5.8,Rice
282.9,40.3,160.4,1.1,6.2,Rice
265.4,43.3,158.2,1.1,5.9,Rice
356.4,41.6,163,1.16,5.4,Rice
311,38.3,122.2,1.01,5.9,Rice
249.2,36.8,146.4,0.92,5.2,Rice
220.1,25.8,115.6,0.9,5.4,Rice
207.8,28.4,108,0.71,6.7,Rice
334.9,49.5,157.1,1.36,6.4,Rice
262.1,37.6,126.8,0.8,5.9,Rice
172.4,25.7,130,0.76,5.5,Rice
197.3,28.2,104.5,0.73,6.7,Rice
270.4,49.1,162,1.14,6.9,Rice
238.2,38,146.2,1.02,5.3,Rice
216.8,33.8,144.6,0.92,6.3,Rice
294.2,45.5,164.8,1.09,5.6,Rice
295.2,44.9,151.5,1.16,6.6,Rice
229.5,40.7,165.8,0.83,5.7,Rice
372.7,52.7,182.3,1.4,6,Rice
214.4,36.5,126,0.87,5.5,Rice
263.8,38.5,130.8,0.97,5.4,Rice
183.1,20.9,90.7,0.63,6.3,Rice
147.1,20.6,91.5,0.67,5.8,Rice
194.2,29.6,112.2,0.82,6.1,Rice
207.5,33.9,107.8,0.92,6.2,Rice
201.7,33,141.5,0.93,5.7,Rice
223.8,32,150.4,0.95,5.6,Rice
204,31.8,120,0.88,5.8,Rice
199.5,30.6,118.4,0.98,5.7,Rice
161.8,30.6,109.6,0.73,6.2,Rice
302.8,43.6,154.7,1.17,6.3,Rice
235.1,30.9,147.9,1.07,6.4,Rice
267.3,34.5,135.8,1.01,6.6,Rice
262,46.2,130,1.15,6,Rice
196.2,26.8,129.7,0.6,6.3,Rice
326.8,49.5,154,1.15,6.2,Rice
244.5,43,134.7,1.11,6.5,Rice
306.9,36.1,132.9,1,6.4,Rice
108,20,81.9,0.53,5.8,Rice
256.8,37.9,127,0.92,5.6,Rice
241.3,32.5,123.7,0.8,6.8,Rice
327.5,44.8,166.6,1.2,5.8,Rice
110.5,27.3,126.5,0.69,6.4,Rice
307,56.9,179.6,1.29,6.4,Rice
114.5,23.3,106,0.65,5.9,Rice
137.7,21.5,89.3,0.63,6.5,Rice
126.2,20,80,0.7,6.7,Rice
168.8,25.4,82.4,0.65,6.5,Rice
261.2,34.5,133.3,0.96,6.5,Rice
119.9,20,112,0.54,5.4,Rice
333.3,42,171.5,1.26,5.3,Rice
149.4,33.7,120.3,0.69,6.1,Rice
188.8,24.9,88.4,0.78,5.5,Rice
357.1,49.5,168.7,1.25,6.8,Rice
235.9,33.7,129.3,0.91,5.1,Rice
350.7,41,172.5,1.24,5.7,Rice
190.1,26.2,125.3,0.89,5.1,Rice
172.5,32.3,128.2,0.63,5.7,Rice
127.7,22.1,88.1,0.63,6.7,Rice
200.1,24,124.7,0.75,5.5,Rice
118.9,20.5,84.2,0.51,5.9,Rice
334,44.3,185.2,1.39,6.8,Rice
183.6,26.5,122.3,0.86,6.5,Rice
106.9,20,80,0.53,5.3,Rice
222.9,27.5,104.3,0.87,5.7,Rice
331.7,53.8,189.4,1.3,5.7,Rice
201.1,33.7,136.1,0.93,5.4,Rice
116.5,29.1,90.6,0.66,6,Rice
172.1,26,108.4,0.65,6.6,Rice
320.7,43.2,179.8,1.25,6.6,Rice
363.8,47.1,159.3,1.45,5.2,Rice
165,25.7,128.6,0.78,6.4,Rice
400,52.2,181.4,1.39,6.9,Rice
150,20,107.6,0.61,5.3,Rice
351.4,46.3,176.8,1.48,6.8,Rice
125.8,20.7,92.4,0.62,5.7,Rice
276.2,40,134.4,1.17,6.4,Rice
400,52.6,184.1,1.44,5.4,Rice
347.6,44.1,189.4,1.36,5.6,Rice
173,28.7,120.7,0.83,6.9,Rice
351.1,57.8,174.4,1.4,5.6,Rice
380.3,53.9,182.7,1.38,5.4,Rice
122.3,20,108.9,0.5,6.9,Rice
132,28.9,80.2,0.74,6,Rice
257.4,40.7,159,1,6,Rice
345.5,48.7,167.3,1.4,6.8,Rice
210.7,26.3,102.5,0.71,6.6,Rice
230.9,37.4,155.1,0.92,6.8,Rice
100,20,80,0.53,5.8,Rice
128.7,20,92.6,0.64,6.2,Rice
400,51.6,184.6,1.5,5.6,Rice
375.6,51.3,190.4,1.4,5.3,Rice
360.9,48.3,165.8,1.23,5.1,Rice
284.7,35.4,149.1,1.08,6.8,Rice
344.7,51.9,182.8,1.39,5,Rice
147.9,22.2,105.3,0.64,6.6,Rice
256.5,35.8,157.7,1.08,5.2,Rice
224.8,30.9,119.5,0.87,6.6,Rice
159.3,20,103.3,0.58,5.1,Rice
379.4,54.1,200,1.42,6.5,Rice
100,23,80.6,0.62,6.1,Rice
170,20,116.1,0.63,5.1,Rice
181.9,23,113.2,0.91,6.7,Rice
279,41.5,157.2,1.17,5.8,Rice
363.3,53.2,188.5,1.42,6.4,Rice
335,46.7,182.2,1.26,5.1,Rice
152.8,20,81.2,0.69,5.4,Rice
116.4,20,98,0.5,6.6,Rice
208,33.5,130.6,0.95,5.4,Rice
210.5,31.9,117,0.77,5.7,Rice
219.5,29,116.4,0.75,6.8,Rice
144.2,22.8,119.4,0.55,7,Rice
400,52.3,200,1.38,6.5,Rice
335.9,51.1,160.6,1.29,5.5,Rice
303.5,40.1,149.2,1.14,5.5,Rice
356.6,53.3,200,1.34,6.6,Rice
317.6,49.2,200,1.28,6.4,Rice
268,46.1,160.1,1.28,5.8,Rice
132.5,20,103.2,0.63,5.6,Rice
128.7,20,80,0.51,5.1,Rice
184.5,31.6,142.7,0.89,5.1,Rice
300.7,50.3,181.8,1.29,6.1,Rice
334.1,38.8,183.5,1.27,6.9,Rice
292.8,45.4,158.4,1.14,6.3,Rice
179.6,31,117.6,0.88,6.8,Rice
255.9,44.7,141,0.99,5.5,Rice
204.7,31.2,111.4,0.83,6.8,Rice
314.3,40.9,154,1.06,5.6,Rice
333.6,44.1,146,1.33,6.9,Rice
369.2,51.3,175,1.44,5.8,Rice
232.8,30.5,118.9,0.86,6.2,Rice
136.9,20,92.4,0.64,6.3,Rice
400,50.8,177.9,1.32,5,Rice
146.8,20,97.8,0.71,5.3,Rice
265.4,32.4,141.6,0.97,5.4,Rice
169.1,22,94.1,0.71,5.8,Rice
365.6,48.6,190.3,1.4,5.1,Rice
169.9,23.5,111.6,0.84,6.7,Rice
301.3,45.9,174.4,1.07,6.4,Rice
253.2,31.8,143.5,0.96,5.3,Rice
338,42.7,198.5,1.38,5.3,Rice
193.2,26.2,128.5,0.93,6.9,Rice
168.7,28.1,106.9,0.7,5.3,Rice
351.2,50.6,185.1,1.36,6.9,Rice
202.1,25.5,111.3,0.7,5.2,Rice
241.4,40.4,156.4,1.2,5.5,Rice
273.3,41.9,139.2,1.11,6.4,Rice
149.2,20,114.8,0.7,6.8,Rice
143.7,21.2,112.4,0.77,5.3,Rice
377.3,46,174.3,1.29,6.6,Rice
277.8,42.7,171.7,1.17,5.3,Rice
300.2,34.2,154.6,1.14,6.5,Rice
400,60,195.2,1.5,6.1,Rice
294.3,42.6,161.1,1.15,5.4,Rice
333.2,40,148.1,1.17,6.7,Rice
400,50.5,186.7,1.4,6,Rice
134.9,28.7,114.1,0.76,6.8,Rice
354.2,54.6,172.5,1.38,6.6,Rice
319.5,36.6,171.6,1.2,5.3,Rice
209.7,31.7,134.6,0.95,5.2,Rice
162.1,23.1,107.2,0.67,5.4,Rice
282,35.4,160.5,1.13,6.6,Rice
143.2,26.2,98.3,0.8,6.5,Rice
375.9,58.9,189.6,1.48,5.6,Rice
315.5,47.4,163.8,1.22,5.9,Rice
168.4,23.7,110.2,0.68,6.4,Rice
337.1,43.7,183.4,1.36,5.7,Rice
100,23.4,95,0.5,5.7,Rice
264.4,50.3,133.2,1.16,5.9,Rice
312.5,45.2,159.2,1.19,6,Rice
100,20,90.9,0.65,6.5,Rice
172.5,20,118.8,0.72,6.4,Rice
257.1,29.2,149.5,0.86,6.6,Rice
154.2,20,118.2,0.77,5.4,Rice
400,54.4,200,1.48,5.9,Rice
291.4,41.7,157.3,1.1,5.2,Rice
324.3,57.8,163.7,1.25,5.7,Rice
307.5,43.1,146.2,1.09,5.4,Rice
155.9,21.9,108.4,0.57,5.4,Rice
252.1,32.5,144.7,1.01,6.9,Rice
227.1,35.2,143.2,0.84,6.8,Rice
383.7,52,200,1.5,6.6,Rice
100,20,104.5,0.5,5.1,Rice
266.7,40.9,141,0.83,6.8,Rice
219.4,40,101.9,0.96,5.7,Rice
207.4,32.2,113.1,0.81,6.9,Rice
197.2,31.9,122.3,0.69,6.1,Rice
170,20,97.6,0.62,5.4,Rice
163,26.2,104.1,0.7,5.9,Rice
107.2,20,98.1,0.59,6.9,Rice
143.6,22.8,102.7,0.56,5.3,Rice
310.8,45.9,164.7,0.99,6.6,Rice
365.7,54.1,170.4,1.34,5.1,Rice
342.5,51.2,191.9,1.11,6.9,Wheat
230.6,43.1,185.4,0.96,6.5,Wheat
378.9,59.6,241.9,1.65,7,Wheat
211.2,43.1,142.9,1.04,6.5,Wheat
306.7,57.4,204.4,1.45,6.7,Wheat
336.3,52.9,201.8,1.56,6.5,Wheat
297.9,50,188.5,1.22,6.6,Wheat
404.1,65.5,222.7,1.6,6.5,Wheat
191.8,36.5,122.1,0.93,6.8,Wheat
209.1,41.3,127.8,0.97,6.6,Wheat
392.6,61.3,268.3,1.72,6.5,Wheat
282.4,45.4,194.4,1.22,6.9,Wheat
223.9,41.3,177.4,1.13,6.7,Wheat
330.1,49.7,195.2,1.35,7.1,Wheat
343.6,53.2,185.7,1.32,7,Wheat
303.1,47.8,191.4,1.17,6.9,Wheat
235.4,45.8,172.3,1.1,6.9,Wheat
300.4,47.2,192.5,1.34,6.6,Wheat
245.5,43.3,178.2,1.04,6.7,Wheat
361.5,51.6,190.6,1.53,7.1,Wheat
192.3,32.1,143.5,0.89,7.1,Wheat
313.8,47.4,190,1.24,7.1,Wheat
280.6,46.4,177.6,1.11,7.1,Wheat
329.7,59.8,238.7,1.47,6.9,Wheat
261.1,49.1,156.4,1.16,6.7,Wheat
307.5,46.1,191.6,1.12,6.9,Wheat
229.6,50.8,180.7,0.99,6.8,Wheat
298.9,51.2,187.3,1.22,6.9,Wheat
284.4,45.4,177.3,1.19,6.8,Wheat
347.4,61.2,207.5,1.39,6.9,Wheat
159.4,33.9,117.3,0.69,6.7,Wheat
355.4,55,227.5,1.49,6.7,Wheat
321.6,53.4,257.7,1.54,6.9,Wheat
277,44.4,209.8,1.04,6.7,Wheat
215.1,34.6,140.8,0.99,6.6,Wheat
216.9,47.4,122.1,1.09,6.6,Wheat
351.3,52.1,238.8,1.54,6.9,Wheat
345.3,52.5,232.4,1.37,6.6,Wheat
265,47.3,222.8,1.36,6.9,Wheat
233.9,42.3,218.2,1.16,7,Wheat
229.6,35.5,190.5,0.9,7,Wheat
260.5,44.7,222.5,1.17,7,Wheat
290.9,51.3,183.1,1.35,6.8,Wheat
238.6,42.2,153.1,1.05,6.4,Wheat
378.6,65.8,216.3,1.6,6.8,Wheat
311.8,52.7,217.8,1.27,7.3,Wheat
386.7,64.8,278,1.48,7.1,Wheat
273.1,43.7,203.5,1.03,6.8,Wheat
332.9,53.5,210.3,1.22,6.9,Wheat
204.8,37.1,168.9,0.82,6.7,Wheat
329.6,55.1,206.9,1.22,6.7,Wheat
369.6,58.8,214.8,1.51,7,Wheat
257.8,41.7,189.1,0.97,6.5,Wheat
226.7,50.2,187.2,1.09,6.5,Wheat
265,36.7,170.6,1.06,6.8,Wheat
331.6,47.8,187.6,1.47,7.1,Wheat
364,51.4,196,1.61,7.1,Wheat
249.2,45.9,190.2,1.11,6.6,Wheat
209.1,40,154.1,0.93,6.9,Wheat
294.7,49.2,186.4,1.28,7.1,Wheat
329.3,51.9,202,1.36,6.7,Wheat
303.5,48.6,183.4,1.42,7.2,Wheat
283.9,56.3,213.5,1.17,6.7,Wheat
247.5,45.9,172,1.17,6.8,Wheat
267,49.6,134.6,1.23,7,Wheat
288.7,50.6,180.4,1.16,7.1,Wheat
222.2,40.8,163.7,0.96,6.9,Wheat
278.1,44.4,199.8,1.05,7.2,Wheat
300.9,48.2,203.8,1.11,6.8,Wheat
249.8,42.3,225,1.07,6.9,Wheat
344.6,59.8,225,1.46,6.5,Wheat
281.2,54.2,205.8,1.27,6.7,Wheat
231.2,44.3,151.8,0.98,6.9,Wheat
280.2,46.4,196.6,1.18,6.8,Wheat
305.2,48.4,183.7,1.14,6.4,Wheat
335.6,50.1,210.1,1.27,6.7,Wheat
219.6,37.4,162.5,1.08,7,Wheat
293.1,53.2,169.5,1.06,6.6,Wheat
265.9,46.3,214.1,1.21,6.4,Wheat
264.1,50.3,167.6,1.29,7,Wheat
265.4,39.1,182,1.24,7.1,Wheat
294.1,42.7,173.7,1.07,7.2,Wheat
283.7,50.9,206.2,1.24,6.6,Wheat
309.1,48.3,195.7,1.29,6.9,Wheat
332.2,57,212.5,1.27,6.4,Wheat
370.4,63.3,273.6,1.43,6.7,Wheat
298.7,50.9,191.3,1.19,6.6,Wheat
312.6,48.6,183.9,1.31,7,Wheat
229.8,37.2,168.2,0.96,6.8,Wheat
241.4,52.9,181.4,1.06,6.7,Wheat
269.3,38.4,180.3,1.05,6.9,Wheat
339,52.8,188.1,1.51,6.6,Wheat
296.9,54.1,210.9,1.26,6.9,Wheat
307.1,53.8,193.4,1.22,6.7,Wheat
197,43.8,133,1.03,6.9,Wheat
207.2,40.9,187.9,0.99,6.4,Wheat
267.5,47.6,171.5,0.99,6.7,Wheat
341.5,52.2,187.4,1.37,6.9,Wheat
314,45.7,196.6,1.35,6.8,Wheat
240.5,39.4,189.8,0.92,6.3,Wheat
219.5,38.4,149.7,0.79,6.8,Wheat
